cat /sys/kernel/fvm/bec
bec_pba_page_count cat /sys/kernel/fvm/dedupe
Total Logical  Space  cat /sys/kernel/fvm/fec
FEC Active Count   dmesg
[18874.557588] cwtn:pba_index = 44282, retry_cnt=1, diskr_cnt = 2, Tag = 105, Next pba_index = 0
[18874.627888] cwtf:pba_index = 51260, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.645717] cwtf:pba_index = 32673, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.665867] cwtf:pba_index = 177033, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.684556] cwtf:pba_index = 167410, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.698293] cwtf:pba_index = 104512, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.776450] cwtf:pba_index = 6122, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18874.792104] cwtf:pba_index = 160566, retry_cnt=0, diskr_cnt = 1, Tag = 107, Next pba_index = 66570
[18874.802927] cwtn:pba_index = 66570, retry_cnt=1, diskr_cnt = 2, Tag = 108, Next pba_index = 0
[18874.803192] cwtf:pba_index = 51920, retry_cnt=0, diskr_cnt = 0, Tag = 101, Next pba_index = 169986
